TÍTULO DA TABELA,TÍTULO DA NOTA,LINK,DATA DE PUBLICAÇÃO,HORÁRIO DE PUBLICAÇÃO,DATA DE ATUALIZAÇÃO,HORÁRIO DE ATUALIZAÇÃO,ANO,MÊS,NÚMERO DA NOTA,CATEGORIA
Notas à Imprensa - Itamaraty,Tornado no Uruguai,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/tornado-no-uruguai,18/04/2016,14h32,18/04/2016,18h53,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Terremotos no Japão,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/terremotos-no-japao,18/04/2016,14h24,18/04/2016,19h12,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Concessão de ""agrément"" ao Embaixador da República do Peru",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/agreementperu13042016,13/04/2016,13h47,15/04/2016,19h12,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Concessão de ""agrément"" ao Embaixador do Brasil na Federação da Rússia",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/agrement-russia-130416,13/04/2016,13h42,13/04/2016,15h24,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Visita do Ministro das Relações Exteriores a Angola – Luanda, 13 e 14 de abril de 2016",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/visita-do-ministro-das-relacoes-exteriores-a-angola-luanda-13-e-14-de-abril-de-2016,11/04/2016,19h39,15/04/2016,15h57,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Incêndio em templo na Índia,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/incendio-em-templo-na-india,10/04/2016,18h57,22/04/2016,15h53,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Calendario de eventos entre 10 e 16 de abril de 2016,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/calendario-de-eventos-entre10-e-16-de-abril-de-2016,08/04/2016,23h06,07/06/2017,16h24,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Declaração Conjunta emitida na conclusão da 22ª Reunião Ministerial do BASIC sobre Mudança do Clima – Nova Délhi, 7 de abril de 2016 [Inglês]",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-publicada-na-conclusao-da-22-reuniao-ministerial-do-basic-sobre-mudanca-do-clima-nova-delhi-7-de-abril-de-20167-2016-2,08/04/2016,21h35,11/08/2017,20h46,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Sessão Especial da Assembleia Geral da ONU sobre o Problema Mundial das Drogas e Cerimônia de Alto Nível de Assinatura do Acordo de Paris sobre Mudança do Clima Nova York, 19 a 22 de abril de 2016 –  Lista de Hotéis",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/sessao-especial-da-assembleia-geral-da-onu-sobre-o-problema-mundial-das-drogas-e-cerimonia-de-alto-nivel-de-assinatura-do-acordo-de-paris-sobre-mudanca-do-clima-nova-york-19-a-22-de-abril-de-2016-lista-de-hoteis,08/04/2016,20h01,08/04/2016,22h34,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Concessão de ""agrément"" ao Embaixador do Brasil na Noruega",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/concessao-de-agrement-ao-embaixador-do-brasil-no-reino-da-noruega,08/04/2016,20h00,08/04/2016,22h22,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Reunião do Mecanismo de Consultas Políticas Brasil-Irã – 11 de abril de 2016,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/reuniao-do-mecanismo-de-consultas-politicas-brasil-ira-11-de-abril-de-2016,08/04/2016,19h26,10/04/2018,12h42,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Negociações MERCOSUL-União Europeia,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/negociacoes-mercosul-uniao-europeia,08/04/2016,17h12,19/04/2016,17h39,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Eleição do Brasil para a Junta Executiva da ONU Mulheres,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/eleicao-do-brasil-para-a-junta-executiva-da-onu-mulheres,06/04/2016,20h30,06/04/2016,20h43,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Negociações de paz no Iêmen,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/negociacoes-de-paz-no-iemen,05/04/2016,14h49,20/05/2016,16h07,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Declaração Conjunta adotada por ocasião da I Reunião do Mecanismo 2+2 de Consulta e Avaliação Estratégica entre os Ministérios da Defesa e das Relações Exteriores do Brasil e do Paraguai – Assunção, 4 de abril de 2016",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/declaracao-conjunta-adotada-por-ocasiao-da-i-reuniao-do-mecanismo-2-2-de-consulta-e-avaliacao-estrategica-entre-os-ministerios-da-defesa-e-das-relacoes-exteriores-do-brasil-e-do-paraguai,04/04/2016,21h20,22/04/2016,20h42,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,"Concessão de ""agrément"" ao Embaixador do Brasil no Panamá",https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/concessao-de-agrement-ao-embaixador-do-brasil-na-republica-do-panama,04/04/2016,19h40,04/04/2016,22h33,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Contencioso na OMC entre Brasil e Tailândia sobre subsídios ao setor de cana e de açúcar – Pedido de Consulta,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/contencioso-na-omc-entre-brasil-e-tailandia-sobre-subsidios-ao-setor-de-cana-e-de-acucar-pedido-de-consulta,04/04/2016,16h35,Data não disponível,Horário não disponível,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Contencioso na OMC entre Brasil e Indonésia sobre restrições à exportação de carne bovina brasileira àquele país – Pedido de Consultas,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/contencioso-na-omc-entre-brasil-e-indonesia-sobre-restricoes-a-exportacao-de-carne-bovina-brasileira-aquele-pais-pedido-de-consultas,04/04/2016,16h30,19/04/2016,19h31,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Entrada em vigor do Acordo de Preferências Comerciais MERCOSUL-SACU,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/entrada-em-vigor-do-acordo-de-preferencias-comerciais-mercosul-sacu,04/04/2016,16h26,05/07/2016,17h29,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Medalha Sergio Vieira de Mello,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/medalha-sergio-vieira-de-mello,01/04/2016,22h51,06/06/2016,15h08,2016,Abril,N/A,Sem categoria
Notas à Imprensa - Itamaraty,Calendário de eventos entre 3 e 9 de abril de 2016,https://www.gov.br/mre/pt-br/canais_atendimento/imprensa/notas-a-imprensa/calendario-de-eventos-entre-3-e-9-de-abril-de-2016,01/04/2016,21h30,01/04/2016,22h05,2016,Abril,N/A,Sem categoria
